- - - - - - - Thoracoabdominal aorta;1;18
- - - - - - Vaccine;2;18
- - - - - Alpha-adrenoreceptor antagonists;3;18
- - - - - Aminoglycosides;4;18
- - - - - Aminophylline, theophylline;5;18
- - - - - Androgens and anabolic congeners;6;18
- - - - - Angiotensin-converting-enzyme inhibitors;7;18
- - - - - Anterior pituitary [adenohypophyseal] hormones;8;18
- - - - - Anthelminthics;9;18
- - - - - Antiallergic and antiemetic drugs;10;18
- - - - - Antiasthmatics, not elsewhere classified;11;18
- - - - - Anticholinesterase agents;12;18
- - - - - Anticoagulant antagonists, vitamin K and other coagulants;13;18
- - - - - Anticoagulants;14;18
- - - - - Antidiarrhoeal drugs;15;18
- - - - - Antidotes and chelating agents, not elsewhere classified;16;18
- - - - - Antifungal antibiotics, systemically used;17;18
- - - - - Antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified;18;18
- - - - - Antihyperlipidemic and antiarteriosclerotic drugs;19;18
- - - - - Antimalarials and drugs acting on other blood protozoa;20;18
- - - - - Antimycobacterial drugs;21;18
- - - - - Antineoplastic antimetabolites;22;18
- - - - - Antineoplastic natural products;23;18
- - - - - Antipruritics;24;18
- - - - - Antithrombotic drugs [platelet aggregation inhibitors];25;18
- - - - - Antithyroid drugs;26;18
- - - - - Antitussives;27;18
- - - - - Antivaricose drugs, including sclerosing agents;28;18
- - - - - Antivenin, antivenom (sera), Immunoglobulin;29;18
- - - - - Antiviral drugs;30;18
- - - - - Appetite depressants;31;18
- - - - - Benzothiadiazine derivatives [thiazides];32;18
- - - - - Beta-adrenoreceptor antagonists;33;18
- - - - - Bromine compounds;34;18
- - - - - Calcium-channel ers;35;18
- - - - - Camphor;36;18
- - - - - Carbonic-anhydrase inhibitors;37;18
- - - - - Cardiac-stimulant glycosides and drugs of similar action;38;18
- - - - - Centrally-acting and adrenergic-neuron-ing agents;39;18
- - - - - Cephalosporins and other beta-lactam antibiotics;40;18
- - - - - Chloramphenicol group;41;18
- - - - - Cloral derivatives;42;18
- - - - - Digestants;43;18
- - - - - Drugs affecting uric acid metabolism;44;18
- - - - - Electrolytic, caloric and water-balance agents;45;18
- - - - - Emetics;46;18
- - - - - Emollients, demulcents and protectants;47;18
- - - - - Expectorants;48;18
- - - - - Fluoride preparations;49;18
- - - - - Ganglionic ing drugs;50;18
- - - - - Glucocorticoids and synthetic analogues;51;18
- - - - - Histamine H2-receptor ers;52;18
- - - - - Immunosuppressive agents;53;18
- - - - - Insulin and oral hypoglycemic [antidiabetic] drugs;54;18
- - - - - Intravenous anesthetics;55;18
- - - - - Iodine (antiseptic);56;18
- - - - - Iron and its compounds;57;18
- - - - - Keratolytics, keratoplastics, and other hair treatment drugs and preparations;58;18
- - - - - Local anesthetics;59;18
- - - - - Loop [high-ceiling] diuretics;60;18
- - - - - Macrolides;61;18
- - - - - Methyl salicylate;62;18
- - - - - Mineral salts, not elsewhere classified;63;18
- - - - - Mineralocorticoids;64;18
- - - - - Mineralocorticoids antagonists;65;18
- - - - - Mixed sedatives and hypnotics, not elsewhere classified;66;18
- - - - - Natural blood and blood products;67;18
- - - - - Nitroglycerin, nitroglycerol (medicinal);68;18
- - - - - Ophthalmological drugs and preparations;69;18
- - - - - Oral contraceptives;70;18
- - - - - Other agents primarily affecting the cardiovascular system;71;18
- - - - - Other and unspecified primarily systemic and haematological agent;72;18
- - - - - Other antacids and anti-gastric-secretion drugs;73;18
- - - - - Other anti-common-cold drugs;74;18
- - - - - Other antidysrhythmic drugs;75;18
- - - - - Other antihypertensive drugs;76;18
- - - - - Other antineoplastic drugs;77;18
- - - - - Other antiprotozoal drugs;78;18
- - - - - Other coronary vasodilators;79;18
- - - - - Other dental drugs, topically applied;80;18
- - - - - Other diagnostic agents;81;18
- - - - - Other diuretics;82;18
- - - - - Other drug primarily affecting the autonomic nervous system;83;18
- - - - - Other drugs acting on muscles;84;18
- - - - - Other drugs and medicaments;85;18
- - - - - Other estrogens and progestogens;86;18
- - - - - Other fibrinolysis-affecting drugs;87;18
- - - - - Other H1-receptor antagonists;88;18
- - - - - Other hormones and synthetic substitutes;89;18
- - - - - Other inhaled anesthetics;90;18
- - - - - Other laxatives;91;18
- - - - - Other local antifungal, anti-infective and anti-inflammatory drugs;92;18
- - - - - Other local astringents and local detergents;93;18
- - - - - Other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics;94;18
- - - - - Other parasympathomimetics [cholinergics];95;18
- - - - - Other sedatives, hypnotics and antianxiety drugs;96;18
- - - - - Other specified general anaesthetic;97;18
- - - - - Other specified systemic anti-infectives and antiparasitics;98;18
- - - - - Other systemic antibiotics;99;18
- - - - - Other topical agents;100;18
- - - - - Otorhinolaryngological drugs and preparations;101;18
- - - - - Oxytocic drugs;102;18
- - - - - Paraldehyde;103;18
- - - - - Penicillins;104;18
- - - - - Peripheral vasodilators;105;18
- - - - - Plasma substitutes;106;18
- - - - - Podophyllin;107;18
- - - - - Predominantly alpha-adrenoreceptor agonists;108;18
- - - - - Predominantly beta-adrenoreceptor agonists;109;18
- - - - - Rifampicins;110;18
- - - - - Saline and osmotic laxatives;111;18
- - - - - Silver nitrate;112;18
- - - - - Skeletal muscle relaxants [neuromuscular ing agents];113;18
